Source_IP,Destination_IP,Protocol,Packet_Size
10.93.132.71,10.93.132.200,UDP,70
10.93.132.71,10.93.132.200,UDP,70
10.93.132.200,10.93.132.71,UDP,86
10.93.132.200,10.93.132.71,UDP,98
10.93.132.71,10.93.132.200,UDP,132
10.93.132.200,10.93.132.71,UDP,211
10.93.132.71,10.93.132.200,UDP,326
0.0.0.0,255.255.255.255,UDP,326
10.93.132.71,10.93.132.200,UDP,69
10.93.132.71,10.93.132.200,UDP,69
10.93.132.200,10.93.132.71,UDP,101
10.93.132.200,10.93.132.71,UDP,125
10.93.132.71,10.93.132.200,UDP,132
10.93.132.200,10.93.132.71,UDP,194
10.93.132.71,10.93.132.200,UDP,326
10.93.132.200,239.255.255.250,UDP,167
10.93.132.200,224.0.0.251,UDP,87
10.93.132.200,224.0.0.22,OTHER,62
10.93.132.200,224.0.0.22,OTHER,62
10.93.132.71,10.93.132.200,UDP,70
10.93.132.71,10.93.132.200,UDP,70
10.93.132.200,10.93.132.71,UDP,86
10.93.132.200,10.93.132.71,UDP,98
10.93.132.71,10.93.132.200,UDP,132
10.93.132.200,10.93.132.71,UDP,172
10.93.132.71,10.93.132.200,UDP,326
10.93.132.71,10.93.132.200,UDP,326
10.93.132.200,239.255.255.250,UDP,167
10.93.132.200,224.0.0.22,OTHER,60
10.93.132.200,224.0.0.251,UDP,87
10.93.132.200,224.0.0.22,OTHER,62
10.93.132.200,224.0.0.22,OTHER,60
10.93.132.200,239.255.255.250,UDP,167
10.93.132.200,224.0.0.251,UDP,87
10.93.132.200,239.255.255.250,UDP,167
10.93.132.200,224.0.0.251,UDP,87
10.93.132.200,239.255.255.250,UDP,167
10.93.132.200,224.0.0.251,UDP,87
10.93.132.200,239.255.255.250,UDP,167
10.93.132.200,224.0.0.251,UDP,87
10.93.132.200,224.0.0.251,UDP,87
10.93.132.200,239.255.255.250,UDP,167
10.93.132.200,224.0.0.251,UDP,87
10.93.132.200,224.0.0.251,UDP,87
10.93.132.200,239.255.255.250,UDP,167
10.93.132.200,224.0.0.251,UDP,87
10.93.132.200,239.255.255.250,UDP,167
10.93.132.200,224.0.0.251,UDP,87
10.93.132.200,239.255.255.250,UDP,167
10.93.132.200,239.255.255.250,UDP,167
10.93.132.200,224.0.0.251,UDP,87
10.93.132.200,239.255.255.250,UDP,167
10.93.132.200,224.0.0.251,UDP,87
10.93.132.71,10.93.132.200,UDP,326
10.93.132.200,239.255.255.250,UDP,167
10.93.132.200,224.0.0.251,UDP,87
10.93.132.200,239.255.255.250,UDP,167
10.93.132.200,224.0.0.251,UDP,87
10.93.132.200,239.255.255.250,UDP,167
10.93.132.200,224.0.0.251,UDP,87
10.93.132.200,239.255.255.250,UDP,167
10.93.132.200,224.0.0.251,UDP,87
10.93.132.71,10.93.132.200,UDP,69
10.93.132.71,10.93.132.200,UDP,69
10.93.132.200,10.93.132.71,UDP,101
10.93.132.200,10.93.132.71,UDP,125
10.93.132.71,10.93.132.200,UDP,132
10.93.132.200,10.93.132.71,UDP,194
10.93.132.71,10.93.132.200,UDP,326
10.93.132.71,10.93.132.200,UDP,326
10.93.132.71,10.93.132.200,UDP,326
10.93.132.71,10.93.132.200,UDP,326
10.93.132.71,8.8.8.8,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,8.8.8.8,ICMP,98
8.8.8.8,10.93.132.71,ICMP,98
10.93.132.71,10.93.132.200,UDP,69
10.93.132.71,10.93.132.200,UDP,69
10.93.132.200,10.93.132.71,UDP,101
10.93.132.200,10.93.132.71,UDP,125
10.93.132.71,10.93.132.200,UDP,132
10.93.132.200,10.93.132.71,UDP,132
10.93.132.71,10.93.132.200,UDP,326
10.93.132.71,10.93.132.200,UDP,326
0.0.0.0,255.255.255.255,UDP,326
